pm25,aqi,co2,temperature,humidity,recommended_mode
35.84,99.8,886.2,18.66,60.5,recirculation
46.73,114.25,1003.19,18.03,56.16,fresh_air
32.04,20.0,1168.59,33.23,34.75,fresh_air
29.14,81.36,1569.24,20.74,53.89,fresh_air
50.25,88.37,985.82,17.75,55.71,fresh_air
30.78,44.97,694.91,28.15,56.66,recirculation
39.6,85.5,420.0,21.28,30.34,recirculation
37.29,93.34,422.04,28.94,38.94,recirculation
50.22,75.58,1264.26,24.12,35.6,fresh_air
25.99,78.88,592.41,25.27,65.5,recirculation
129.67,232.05,1390.8,23.09,73.16,recirculation
21.85,58.28,1030.38,12.58,19.63,fresh_air
41.16,74.74,1993.07,19.11,71.91,fresh_air
38.31,67.36,2242.65,23.46,51.21,fresh_air
82.28,164.96,1225.6,28.85,93.3,fresh_air
43.24,65.61,878.62,16.3,57.09,fresh_air
92.32,191.66,973.66,23.77,70.17,fresh_air
16.1,43.67,710.81,19.17,52.94,recirculation
46.54,99.85,967.09,25.01,30.91,fresh_air
11.97,20.0,1621.83,23.92,48.52,fresh_air
18.27,47.94,1414.22,27.2,57.22,fresh_air
89.75,190.36,1544.8,28.59,46.98,fresh_air
116.38,139.25,1159.3,25.97,59.21,recirculation
44.85,108.71,581.47,27.7,49.08,recirculation
35.5,83.67,996.54,22.49,41.66,fresh_air
9.16,21.61,1226.77,28.93,46.21,fresh_air
21.19,73.23,962.82,18.76,44.51,fresh_air
54.4,94.64,2282.33,21.73,52.86,fresh_air
15.56,52.94,872.97,27.88,22.57,fresh_air
7.28,63.49,1485.9,27.24,39.08,fresh_air
32.77,105.78,1231.27,26.1,22.05,fresh_air
45.69,108.05,1532.73,26.9,41.36,fresh_air
100.42,136.15,1818.15,15.04,66.76,fresh_air
49.65,94.66,1318.47,30.83,33.39,fresh_air
10.89,31.54,486.39,23.12,59.84,recirculation
104.33,142.2,1216.27,29.36,89.88,fresh_air
32.34,60.07,602.28,15.26,70.35,fresh_air
21.87,72.52,1330.21,25.1,51.87,fresh_air
126.35,214.31,1528.08,21.58,62.02,recirculation
100.34,130.96,1566.99,26.46,30.82,fresh_air
22.92,32.36,560.07,25.36,27.97,fresh_air
11.71,20.0,726.74,25.57,50.4,recirculation
21.2,71.69,885.36,19.45,55.58,recirculation
39.91,88.65,1512.82,23.76,65.32,fresh_air
44.5,115.64,1082.05,23.23,42.04,fresh_air
110.98,129.4,2340.46,26.13,52.71,fresh_air
30.82,94.03,969.02,28.25,52.23,fresh_air
62.94,105.34,1257.57,24.65,48.16,fresh_air
38.0,71.76,522.91,16.51,59.86,fresh_air
22.67,50.78,775.43,24.46,38.03,recirculation
23.03,35.51,615.54,35.23,53.92,fresh_air
14.71,84.27,981.56,31.08,52.73,fresh_air
14.51,42.19,977.53,10.0,33.79,fresh_air
49.16,119.38,739.58,24.27,59.32,recirculation
38.81,77.13,1376.09,28.01,64.39,fresh_air
19.3,31.7,668.78,23.22,59.48,recirculation
30.9,68.94,828.95,22.02,35.41,recirculation
34.26,101.69,1026.18,22.85,51.4,fresh_air
73.25,139.43,1533.38,26.37,37.24,fresh_air
13.63,25.13,1192.17,19.06,51.35,fresh_air
33.99,82.28,971.41,34.89,13.47,fresh_air
